type,name,latitude,longitude,city
small_airport,Caldwell Municipal Airport,37.0360984802246,-97.5864028930664,Caldwell
small_airport,Flying N Ranch Airport,38.540599822998,-97.003303527832,Lost Springs
heliport,Lourdes Hospital Heliport,37.051700592041,-88.6468963623047,Paducah
small_airport,Barham Airport,32.6389999389648,-91.7736968994141,Oak Ridge
small_airport,Schumaier Restricted Landing Area,38.1258010864258,-89.4638977050781,Pinckneyville
small_airport,Country Breeze Airport,30.7059993743896,-91.0774002075195,Slaughter
heliport,Compaq Andover Heliport,42.6250991821289,-71.1800994873047,Andover
seaplane_base,Annapolis Seaplane Base,38.999199,-76.456001,Annapolis
seaplane_base,Saint Peter's Seaplane Base,46.7789001464844,-68.5002975463867,Portage Lake
heliport,Flow Through Terminal Heliport,43.0494995117188,-83.6797027587891,Flint
seaplane_base,Barnes Seaplane Base,47.899600982666,-92.5574035644531,Cook
heliport,Highway Patrol Troop C Headquarters Heliport,38.6417007446289,-90.4842987060547,Town and Country
small_airport,Crystal Lakes Resort Airport,48.7891006469727,-114.879997253418,Fortine
small_airport,Topsail Airpark,34.4752998352051,-77.5813980102539,Holly Ridge
small_airport,Detour Airport,40.8436012268066,-100.65299987793,Wellfleet
small_airport,Moore Airfield,43.6445,-72.086998,Canaan
heliport,Albert Guido Memorial Heliport,40.7417984008789,-74.1371002197266,Newark
small_airport,Champion Ranch Airport,33.008611,-104.540278,Artesia
small_airport,Lantana Ranch Airport,38.7639007568359,-119.027000427246,Yerington
closed,Vassar Hospital Heliport,41.694187,-73.935582,Poughkeepsie
heliport,Galion Community Hospital Heliport,40.730598449707,-82.8015975952149,Galion
closed,Lawrence Airport,35.294498,-98.636496,Eakly
closed,Red & White Flying Service Airport,43.119301,-121.044997,Silver Lake
closed,Pine Heliport,40.655602,-80.050903,Mars
small_airport,Bierly(Personal Use) Airport,40.9305992126465,-77.738899230957,Bellefonte
small_airport,Nort's Resort Airport,41.5959014892578,-76.0296020507812,Meshoppen
small_airport,York Airport,35.0321006774902,-81.252799987793,York
heliport,Thirty Thirty Matlock Office Center Heliport,32.6941986083984,-97.1157989501953,Arlington
small_airport,Smith Field,32.7375984191895,-96.4280014038086,Forney
small_airport,Colonial Air Park,34.9958992004395,-89.730598449707,Collierville
closed,St Joseph Hospital Heliport,32.7285,-97.324501,Fort Worth
small_airport,Mims Farm Ultralightport,32.3875999450684,-96.8775024414063,Waxahachie
small_airport,Duckwater Airport,38.8516006469727,-115.634002685547,Duckwater
small_airport,La Sal Junction Airport,38.3083000183105,-109.396003723145,La Sal
small_airport,Pickles Airport,39.125,-77.9250030518,Berryville
heliport,Willapa Harbor Heliport,46.663200378418,-123.811996459961,South Bend
small_airport,Prehn Cranberry Company Airport,44.0099983215332,-90.3891983032227,Tomah
heliport,Whidbey General Hospital Heliport,48.2134017944336,-122.684997558594,Coupeville
heliport,Odyssey Heliport,47.518178,-122.210908,Renton
small_airport,Keyhole Airport,44.3471984863281,-104.810997009277,Moorcroft
heliport,Seton Medical Center Hays Heliport,30.007222,-97.853333,Kyle
heliport,Meadowood Ranch Heliport,32.0201988220215,-95.7454986572266,Athens
small_airport,Rustic Wilderness Airport,61.8768997192383,-150.098007202148,Willow
small_airport,Bass Field,30.3715000152588,-87.7643966674805,Foley
closed,Three Rivers Airport,34.822445,-92.44442,Little Rock
closed,Winchester Farm Airstrip,32.376401,-109.936996,Willcox
heliport,Swepi Beta Platform Ellen Heliport,33.5825004577637,-118.128997802734,Huntington Beach
small_airport,Shannon Field,34.1296005249023,-90.5240020751953,Clarksdale
small_airport,Conover Air Lodge Airport,34.761101,-119.058998,Frazier Park
small_airport,Mc Cullough Airport,37.6432991028,-106.04699707,Monte Vista
heliport,Strangers Point Heliport,41.9196014404297,-72.4445037841797,Ellington
small_airport,Osborn Airfield,28.5266990661621,-81.8748016357422,Groveland
closed,Cuchens Airport,30.642527,-86.118779,Defuniak Springs
small_airport,Doug Bolton Field,34.2025985717773,-83.4290008544922,Commerce
small_airport,Etowah Fields Airport,34.1753005981445,-84.9244003295899,Euharlee
heliport,K3 Helipad Heliport,21.3619995117187,-157.95100402832,Pearl Harbor
heliport,Boone County Hospital Heliport,42.0560989379883,-93.8779983520508,Boone
small_airport,Morgan Ranch Airport,44.5555000305176,-115.305000305176,Cascade
small_airport,King Ultralightport,40.0623016357422,-86.2105026245117,Westfield
small_airport,Diamond P. Field,40.2089004516602,-85.5408020019531,Muncie
